# INITIALIZER QUIZ GAME - QUESTION DATABASE
# ==========================================
# 
# AI INSTRUCTIONS - FOLLOW THESE EXACTLY:
# =======================================
# 
# TASK: Add exactly 50 new quiz questions at the END of this file.
#       Return the COMPLETE file including these instructions and all existing data.
# 
# ⚠️ CRITICAL RULES - MUST FOLLOW:
# 
# 1. DO NOT DELETE OR MODIFY:
#    - These instruction comments (lines starting with #)
#    - The header line (term,kind,category,question,optionA,optionB,optionC,optionD,correct,explanation)
#    - Any existing question rows
#    
# 2. ANSWER DISTRIBUTION IS MANDATORY:
#    The "correct" column (column 9) MUST be balanced across your 50 new questions:
#    - Make 12-13 questions with correct answer A
#    - Make 12-13 questions with correct answer B  
#    - Make 12-13 questions with correct answer C
#    - Make 12-13 questions with correct answer D
#    
#    ❌ WRONG: Making 40 questions with answer A, 5 with B, 3 with C, 2 with D
#    ✅ RIGHT: Rotating answers like: A,B,C,D,A,D,C,B,A,C,B,D... etc.
#    
#    TIP: After every 4 questions, check you've used A,B,C,D once each.
# 
# 3. FORMAT - Each row must have EXACTLY these 10 comma-separated fields:
#    term,kind,category,question,optionA,optionB,optionC,optionD,correct,explanation
#    
#    WHERE:
#    - term: The acronym/initialism (e.g., DVD, NFL, JPEG)
#    - kind: Either "acronym" OR "initialism" (acronym if pronounced as word, initialism if letters)
#    - category: One of: computing, technology, science, business, government, education,
#                       internet, general, medical, military, sports, food, finance, gaming, music, travel
#    - question: Usually "What does X stand for?" 
#    - optionA: First choice (put correct answer here if correct=A)
#    - optionB: Second choice (put correct answer here if correct=B)
#    - optionC: Third choice (put correct answer here if correct=C)
#    - optionD: Fourth choice (put correct answer here if correct=D)
#    - correct: Must be A, B, C, or D (the letter of the correct option)
#    - explanation: Brief educational explanation about the term
# 
# 4. QUESTION TOPICS:
#    - Mix categories: technology, science, business, medical, sports, etc.
#    - Include both well-known (FBI, NASA) and lesser-known initialisms
#    - Make incorrect options plausible but clearly wrong
#    - Avoid controversial or offensive content
# 
# 5. VERIFICATION CHECKLIST:
#    ✓ Added exactly 50 new rows (no more, no less)
#    ✓ Each correct answer (A/B/C/D) appears 12-13 times in your 50 questions  
#    ✓ All original content remains unchanged
#    ✓ Each row has exactly 10 comma-separated fields
#    ✓ Used only allowed categories
#    ✓ Marked initialisms vs acronyms correctly
# 
# EXAMPLE OF GOOD ANSWER DISTRIBUTION:
# Q1: correct=A, Q2: correct=B, Q3: correct=C, Q4: correct=D,
# Q5: correct=A, Q6: correct=B, Q7: correct=C, Q8: correct=D, etc.
# Result: A×13, B×13, C×12, D×12 (perfectly balanced!)
# 
# ==========================================
# DO NOT MODIFY ANYTHING ABOVE THIS LINE OR ANY EXISTING DATA BELOW
# ADD YOUR 50 NEW QUESTIONS AT THE VERY END OF THE FILE
# ==========================================
term,kind,category,question,optionA,optionB,optionC,optionD,correct,explanation
NATO,acronym,military,What does NATO stand for?,North American Treaty Organization,National Atlantic Trade Organization,North Atlantic Treaty Organization,Northern Alliance Treaty Organization,C,NATO is an intergovernmental military alliance between North American and European countries.
ASAP,initialism,general,What does ASAP stand for?,At Some Appointed Place,Always Safe And Protected,At Soonest Available Period,As Soon As Possible,D,ASAP is commonly used to indicate urgency in completing a task.
LCD,initialism,technology,What does LCD stand for?,Liquid Crystal Display,Light Control Device,Laser Crystal Diode,Low Current Display,A,LCD is a flat-panel display technology commonly used in TVs and computer monitors.
PhD,initialism,education,What does PhD stand for?,Professional Higher Degree,Doctor of Philosophy,Post Higher Diploma,Philosophical Doctorate,B,A PhD is the highest academic degree awarded by universities in most fields of study.
FAQ,initialism,general,What does FAQ stand for?,Fast Answer Query,First Aid Questions,Frequently Asked Questions,Free Access Query,C,FAQs are lists of questions and answers pertaining to a particular topic.
PIN,acronym,general,What does PIN stand for?,Private Identity Number,Protected Information Network,Public Identification Number,Personal Identification Number,D,A PIN is a numeric password used to authenticate a user accessing a system.
SCUBA,acronym,sports,What does SCUBA stand for?,Self-Contained Underwater Breathing Apparatus,Submersible Compressed Underwater Breathing Aid,Special Container Under-water Breathing Accessory,Submarine Compressed Unit Breathing Assembly,A,SCUBA gear allows divers to breathe underwater for extended periods.
GIF,acronym,computing,What does GIF stand for?,General Image Format,Graphics Interchange Format,Graphical Internet File,Generated Image File,B,GIF is a bitmap image format that supports animations and has been widely used on the web.
LASER,acronym,science,What does LASER stand for?,Light Amplified Signal Emission Ray,Luminous Amplified System Energy Radiation,Light Amplification by Stimulated Emission of Radiation,Light Activated Spectrum Energy Ray,C,LASER technology produces a coherent beam of light through optical amplification.
RADAR,acronym,technology,What does RADAR stand for?,Radio Analysis Detection And Recognition,Rapid Detection And Response,Radio Activated Detection And Ranging,Radio Detection And Ranging,D,RADAR uses radio waves to determine the range and angle of objects.
ZIP,acronym,computing,What does ZIP stand for?,Zone Improvement Plan,Zero Information Protocol,Zoned Internet Package,Zipped Integration Process,A,ZIP originally referred to postal codes but also became a file compression format.
NASDAQ,acronym,finance,What does NASDAQ stand for?,National Association of Security Dealers and Quotations,National Association of Securities Dealers Automated Quotations,North American Stock Data and Query,National Automated Stock Direct Access Query,B,NASDAQ is an American stock exchange and the second-largest in the world by market capitalization.
SWAT,acronym,military,What does SWAT stand for?,Specialized Weapons Attack Team,Strategic Weapons And Technology,Special Weapons And Tactics,Supreme Warfare Action Team,C,SWAT teams are law enforcement units that use specialized tactics and equipment.
BIOS,acronym,computing,What does BIOS stand for?,Binary Input Output Software,Built-In Operating Software,Boot Integration Operating System,Basic Input/Output System,D,BIOS is firmware used to provide runtime services for operating systems and programs.
VPN,initialism,technology,What does VPN stand for?,Virtual Private Network,Variable Protection Node,Virtual Protected Node,Variable Private Network,A,A VPN extends a private network across a public network for secure connections.
DNA,initialism,science,What does DNA stand for?,Dynamic Nuclear Acid,Deoxyribonucleic Acid,Direct Nucleotide Assembly,Dual Nuclear Algorithm,B,DNA is a molecule that contains the genetic instructions for life.
ICU,initialism,medical,What does ICU stand for?,Internal Care Unit,Immediate Care Unit,Intensive Care Unit,International Care Unit,C,The ICU provides intensive treatment medicine for patients with severe or life-threatening conditions.
ESPN,initialism,sports,What does ESPN stand for?,Electronic Sports Programming Network,Extended Sports Performance Network,Every Sport Programming Network,Entertainment and Sports Programming Network,D,ESPN is an American multinational sports television channel.
URL,initialism,internet,What does URL stand for?,Uniform Resource Locator,Universal Reference Link,User Resource Link,United Resource Language,A,A URL is the address of a resource on the Internet.
HDMI,initialism,technology,What does HDMI stand for?,High Digital Media Interface,High-Definition Multimedia Interface,Hardware Digital Media Input,High Display Media Integration,B,HDMI is a proprietary interface for transmitting uncompressed video and audio data.
UNICEF,acronym,government,What does UNICEF stand for?,United Nations International Children's Education Fund,Universal Network for International Child Education and Family,United Nations International Children's Emergency Fund,United Nations International Child Education Foundation,C,UNICEF provides humanitarian aid to children worldwide.
SONAR,acronym,technology,What does SONAR stand for?,Signal Output Navigation And Recognition,Submarine Object Navigation And Ranging,Sound Observation Network And Radar,Sound Navigation And Ranging,D,SONAR uses sound propagation to navigate and detect objects underwater.
ROM,initialism,computing,What does ROM stand for?,Read-Only Memory,Random Operating Memory,Remote Object Manager,Rapid Output Module,A,ROM is non-volatile memory that permanently stores instructions for computers.
AWOL,acronym,military,What does AWOL stand for?,Away Without Official Leave,Absent Without Leave,Absent With Official Leave,Away Without Legal permission,B,AWOL describes a member of the armed forces absent from duty without permission.
YOLO,acronym,general,What does YOLO stand for?,Your Only Life Option,You Obviously Love Originality,You Only Live Once,Youth Only Lives Once,C,YOLO is a modern acronym encouraging people to seize the day.
RFID,initialism,technology,What does RFID stand for?,Remote Field Identification Device,Rapid Frequency Identification,Radio Field Identity Detection,Radio Frequency Identification,D,RFID uses electromagnetic fields to automatically identify and track tags attached to objects.
OLED,initialism,technology,What does OLED stand for?,Organic Light-Emitting Diode,Optical Light Enhancement Display,Organized LED,Open Light Electronic Display,A,OLED displays emit light when electric current flows through organic compounds.
STEM,acronym,education,What does STEM stand for?,Science Technology Education and Mathematics,Science Technology Engineering and Mathematics,Scientific Technical Engineering Methods,Systems Technology Engineering and Management,B,STEM education focuses on these four academic disciplines.
VIP,initialism,general,What does VIP stand for?,Valuable Important People,Very Intelligent Person,Very Important Person,Verified Identity Pass,C,VIP status typically provides special privileges or access.
RSVP,initialism,general,What does RSVP stand for?,Respond So Very Promptly,Reply Sent Via Post,Reservation Service Very Prompt,Répondez S'il Vous Plaît,D,RSVP is French for 'please respond' and is used on invitations.
PNG,initialism,computing,What does PNG stand for?,Portable Network Graphics,Picture Network Group,Public Network Gateway,Processed New Graphics,A,PNG is a raster-graphics file format that supports lossless data compression.
BMW,initialism,business,What does BMW stand for?,British Motor Works,Bayerische Motoren Werke,Berlin Motor Works,Bavarian Machine Works,B,BMW is a German multinational manufacturer of luxury vehicles and motorcycles.
