# INITIALIZER QUIZ GAME - QUESTION DATABASE
# ==========================================
#
# INSTRUCTIONS FOR AI: Generate additional quiz questions following this exact format.
#
# CSV FORMAT REQUIREMENTS:
# - Each question must have exactly 10 comma-separated fields
# - NO quotes unless the field itself contains a comma
# - NO empty lines between questions
# - NO additional headers - just add data rows below the existing questions
#
# COLUMN DEFINITIONS:
# 1. term: The acronym/initialism (e.g., CPU, NASA, LOL)
# 2. kind: Must be either ""acronym"" OR ""initialism""
#    - acronym = pronounced as word (NASA, RADAR, LASER)
#    - initialism = pronounced letter-by-letter (FBI, CPU, HTML)
# 3. category: Choose from: computing, technology, science, business, government,
#    education, internet, general, medical, military, sports, food, finance, gaming, music, travel
# 4. question: Usually ""What does [TERM] stand for?"" (can vary slightly for variety)
# 5. optionA: First answer choice
# 6. optionB: Second answer choice
# 7. optionC: Third answer choice
# 8. optionD: Fourth answer choice
# 9. correct: Which option is correct - MUST be exactly A, B, C, or D (capital letter)
# 10. explanation: Educational fact about the term (keep under 100 characters)
#
# CRITICAL REQUIREMENTS:
# 1. BALANCE CORRECT ANSWERS: Distribute evenly across A, B, C, D (roughly 25% each)
#    - Current distribution: A=10, B=10, C=9, D=10 (out of 39 questions)
#    - When adding new questions, help maintain this balance
#
# 2. MAKE WRONG ANSWERS PLAUSIBLE:
#    - ❌ BAD: ""CPU = Cute Purple Unicorn"" (obviously wrong)
#    - ✅ GOOD: ""CPU = Core Processing Unit"" (sounds technical and believable)
#    - All wrong answers should sound like they COULD be correct
#
# 3. VARY THE DIFFICULTY:
#    - Easy: Common terms everyone knows (USB, GPS, FAQ)
#    - Medium: Technical but recognizable (API, HTML, PhD)
#    - Hard: Specialized terms (PCMCIA, WYSIWYG, CAPTCHA)
#
# 4. WRITE EDUCATIONAL EXPLANATIONS:
#    - Don't just expand the acronym
#    - Add an interesting fact or context
#    - Example: ""RADAR was originally an acronym but is now used as a standard word.""
#
# EXAMPLES OF WELL-FORMED QUESTIONS:
# BIOS,initialism,computing,What does BIOS stand for?,Basic Input/Output System,Binary Integrated Operating System,Built-In Operating Software,Basic Internal Operating Standard,A,BIOS initializes hardware during boot before the operating system loads.
# FOMO,acronym,internet,What does FOMO stand for?,Fear Of Missing Out,Friends Only Messaging Online,Frequently Occurring Mobile Obsession,Finding Other Meaningful Options,A,FOMO describes anxiety over missing exciting or interesting events.
#
# TASK: Add 50 new questions below the existing ones. Ensure:
# - Mix of categories (don't just do all computing)
# - Balanced correct answers (aim for 12-13 each of A, B, C, D)
# - Plausible wrong answers that sound real
# - Educational explanations with interesting facts
# - Proper CSV formatting with no extra quotes or spaces
#
# END OF INSTRUCTIONS - DATA STARTS BELOW:
term,kind,category,question,optionA,optionB,optionC,optionD,correct,explanation
ATF,initialism,government,What does ATF stand for?,Alcohol Tobacco and Firearms,Advanced Tactical Forces,American Trade Federation,Automated Task Force,A,ATF is a federal law enforcement agency under the Department of Justice.
CDC,initialism,government,What does CDC stand for?,Central Disease Control,Centers for Disease Control and Prevention,Clinical Disease Control,Community Disease Center,B,CDC is the national public health agency of the United States.
FDA,initialism,government,What does FDA stand for?,Federal Drug Authority,Federal Drug Association,Food Distribution Agency,Food and Drug Administration,D,FDA regulates food safety and approves medications in the United States.
IRS,initialism,government,What does IRS stand for?,Internal Revenue Service,International Revenue System,Independent Revenue Service,Interstate Revenue Service,A,IRS is the revenue service of the federal government collecting taxes.
EPA,initialism,government,What does EPA stand for?,Environmental Protection Agency,Energy Policy Administration,Emergency Planning Agency,Environmental Policy Association,A,EPA protects environmental and human health through regulations and enforcement.
NATO,initialism,military,What does NATO stand for?,North American Trade Organization,North Atlantic Treaty Organization,National Air Transport Operations,Northern Alliance Tactical Operations,B,NATO provides collective defense where an attack on one member is an attack on all.
WHO,initialism,government,What does WHO stand for?,World Health Organization,World Housing Organization,Western Health Operations,World Humanitarian Operations,A,WHO coordinates international health efforts within the United Nations system.
IMF,initialism,finance,What does IMF stand for?,International Monetary Fund,Independent Money Foundation,International Market Foundation,Interstate Money Fund,A,IMF promotes international monetary cooperation and provides loans to countries.
UNESCO,acronym,education,What does UNESCO stand for?,United Nations Educational Scientific and Cultural Organization,Universal Network for Education Science and Cultural Organization,United Nations Economic Social and Cultural Operations,Universal Nations Educational and Scientific Cultural Operations,A,UNESCO promotes international collaboration in education science and culture.
OSHA,acronym,government,What does OSHA stand for?,Operational Safety and Health Association,Organizational Safety and Health Authority,Occupational Safety and Health Administration,Official Safety and Health Agency,C,OSHA ensures safe and healthy working conditions through regulations and training.
HIPAA,acronym,medical,What does HIPAA stand for?,Hospital Information Privacy and Access Act,Health Insurance Privacy and Access Authority,Healthcare Information Protection and Audit Act,Health Insurance Portability and Accountability Act,D,HIPAA protects sensitive patient health information from disclosure without consent.
CPR,initialism,medical,What does CPR stand for?,Central Pulse Restoration,Clinical Patient Recovery,Cardiopulmonary Resuscitation,Cardiac Pulse Revival,C,CPR can double or triple survival chances during cardiac arrest when performed immediately.
ICU,initialism,medical,What does ICU stand for?,Intensive Care Unit,Individual Care Unit,Immediate Care Unit,Internal Care Unit,A,ICU provides intensive treatment and monitoring for critically ill patients.
MRI,initialism,medical,What does MRI stand for?,Magnetic Resonance Imaging,Medical Radiology Imaging,Multiple Range Imaging,Medical Response Imaging,A,MRI uses magnetic fields and radio waves to create detailed body images.
CT,initialism,medical,What does CT stand for?,Computed Tomography,Central Therapy,Clinical Treatment,Cardiac Testing,A,CT scans use X-rays to create cross-sectional images of bones organs and tissues.
EKG,initialism,medical,What does EKG stand for?,Electro Kinetic Graph,Emergency Kidney Guide,Electronic Kidney Graph,Electrocardiogram,D,EKG records electrical activity of the heart to detect heart problems.
ER,initialism,medical,What does ER stand for?,Emergency Room,Emergency Registry,External Radiology,Emergency Response,A,ER provides immediate treatment for acute illnesses and life-threatening injuries.
PTSD,initialism,medical,What does PTSD stand for?,Post-Traumatic Stress Disorder,Persistent Traumatic Stress Disorder,Pre-Traumatic Stress Disorder,Physical Traumatic Stress Disorder,A,PTSD can develop after experiencing or witnessing a terrifying event.
ADD,initialism,medical,What does ADD stand for?,Advanced Diagnostic Disorder,Attention Development Delay,Attention Deficit Disorder,Acute Development Disorder,C,ADD is now typically referred to as ADHD without hyperactivity symptoms.
ADHD,initialism,medical,What does ADHD stand for?,Attention Deficit Hyperactivity Disorder,Acute Development Hyperactivity Disorder,Attention Deficiency and Hyperactive Disorder,Advanced Diagnostic Hyperactivity Disorder,A,ADHD is one of the most common neurodevelopmental disorders of childhood.
OCD,initialism,medical,What does OCD stand for?,Obsessive-Compulsive Disorder,Obsessive Cognitive Disorder,Ongoing Compulsive Disorder,Organic Cognitive Disorder,A,OCD involves recurring unwanted thoughts and repetitive behaviors.
COPD,initialism,medical,What does COPD stand for?,Continuous Oxygen Processing Disorder,Chronic Oxygen Pathway Disease,Central Obstructive Pulmonary Disorder,Chronic Obstructive Pulmonary Disease,D,COPD is typically caused by long-term exposure to irritating gases or particles.
NPO,initialism,business,What does NPO stand for?,National Policy Organization,Non-Profit Organization,New Project Operations,Network Planning Organization,B,NPOs operate for charitable scientific literary or educational purposes.
LLC,initialism,business,What does LLC stand for?,Limited Liability Company,Legal Liability Corporation,Licensed Liability Company,Local Liability Corporation,A,LLC combines corporation benefits with partnership and sole proprietorship flexibility.
IPO,initialism,finance,What does IPO stand for?,Initial Public Offering,International Public Offering,Independent Public Operations,Internal Public Offering,A,IPO is when a private company first sells shares to the public.
ROI,initialism,finance,What does ROI stand for?,Return on Investment,Rate of Interest,Revenue Operations Index,Regional Operations Investment,A,ROI measures the efficiency of an investment relative to its cost.
KPI,initialism,business,What does KPI stand for?,Key Planning Initiative,Known Performance Index,Key Process Indicator,Key Performance Indicator,D,KPIs measure how effectively a company achieves key business objectives.
CRM,initialism,business,What does CRM stand for?,Customer Relationship Management,Client Resource Management,Central Records Management,Customer Resource Monitoring,A,CRM systems help companies manage interactions with current and potential customers.
ERP,initialism,business,What does ERP stand for?,External Resource Processing,Enterprise Resource Planning,Electronic Resource Processing,Executive Resource Planning,B,ERP integrates core business processes into a single comprehensive system.
B2B,initialism,business,What does B2B stand for?,Bank to Business,Business to Business,Budget to Business,Brand to Business,B,B2B refers to transactions between businesses rather than between business and consumers.
B2C,initialism,business,What does B2C stand for?,Budget to Consumer,Bank to Consumer,Brand to Consumer,Business to Consumer,D,B2C refers to transactions between businesses and individual consumers.
SaaS,acronym,technology,What does SaaS stand for?,Software as a Service,System as a Service,Security as a Service,Storage as a Service,A,SaaS delivers software applications over the internet on a subscription basis.
SEO,initialism,internet,What does SEO stand for?,System Enhancement Operations,Site Engagement Optimization,Search Engine Optimization,Social Engagement Operations,C,SEO improves website visibility in search engine results pages.
UX,initialism,technology,What does UX stand for?,User Experience,Universal Exchange,User Extension,Unified Experience,A,UX focuses on creating products that provide meaningful user experiences.
UI,initialism,technology,What does UI stand for?,Unified Interface,Universal Interface,User Integration,User Interface,D,UI is the point of interaction between users and digital products.
QR,initialism,technology,What does QR stand for?,Quick Recognition,Quantum Reader,Quality Recognition,Quick Response,D,QR codes can store more information than traditional barcodes in a smaller space.
NFC,initialism,technology,What does NFC stand for?,National File Center,Near Field Communication,New Frequency Channel,Network File Connection,B,NFC enables two devices to communicate when within close proximity.
RFID,initialism,technology,What does RFID stand for?,Remote File Information Database,Rapid Frequency Identity Detection,Radio Frequency Identification,Radio File Information Directory,C,RFID uses electromagnetic fields to automatically identify and track tags.
ISP,initialism,technology,What does ISP stand for?,Information System Provider,Internet Service Provider,Internal Service Protocol,International Service Provider,B,ISP provides internet access and related services to individuals and businesses.
VPN,initialism,technology,What does VPN stand for?,Verified Personal Network,Variable Protocol Network,Virtual Private Network,Visual Processing Network,C,VPN extends a private network across a public network for security.
IP,initialism,technology,What does IP stand for?,Internet Protocol,Information Processing,Internal Protocol,International Protocol,A,IP is the principal communications protocol for routing data across networks.
SIM,initialism,technology,What does SIM stand for?,System Identity Manager,Secure Identity Module,Subscriber Identity Module,Standard Identity Module,C,SIM cards authenticate subscribers on mobile devices and store account information.
